Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-02-19 00:00:00+01:00,152.8820818493226,153.84698427093625,152.11374389957953,153.3824005126953,466417,0.0,0.0
2024-02-20 00:00:00+01:00,159.70781881017098,166.19404130078945,159.6720839061162,166.0511016845703,1827547,0.0,0.0
2024-02-21 00:00:00+01:00,164.33573003090822,165.7652011172511,162.56675487538305,165.64012145996094,826950,0.0,0.0
2024-02-22 00:00:00+01:00,166.14044820120796,166.71223666366365,164.26425325024695,165.65798950195312,659208,0.0,0.0
2024-02-23 00:00:00+01:00,166.17618473817703,169.91068473092545,166.17618473817703,169.3031463623047,753355,0.0,0.0
2024-02-26 00:00:00+01:00,169.30313845176144,169.92853674567124,168.92791447117852,169.51756286621094,600490,0.0,0.0
2024-02-27 00:00:00+01:00,169.60691081735814,170.2144341732753,168.856432850527,169.1602020263672,489727,0.0,0.0
2024-02-28 00:00:00+01:00,168.78496698469502,169.12447107225157,167.56992024448496,168.6062774658203,423106,0.0,0.0
2024-02-29 00:00:00+01:00,168.85643483624136,169.05299930303005,167.69499796431197,167.87367248535156,1115438,0.0,0.0
2024-03-01 00:00:00+01:00,167.69499938392636,168.10597327944166,166.3727329382226,167.0159912109375,400757,0.0,0.0
2024-03-04 00:00:00+01:00,167.6413857468083,169.9464144997133,167.5699159394,169.8213348388672,410224,0.0,0.0
2024-03-05 00:00:00+01:00,169.9642726556932,171.03637973852915,168.85643066953116,169.32101440429688,496325,0.0,0.0
2024-03-06 00:00:00+01:00,169.6247835407387,170.60754586717226,169.07085504989197,170.44671630859375,518001,0.0,0.0
2024-03-07 00:00:00+01:00,169.5890282083055,173.44860758374796,169.48182350178422,172.75173950195312,687933,0.0,0.0
2024-03-08 00:00:00+01:00,173.23418480568594,173.32352955984268,172.3765021581541,173.019775390625,584359,0.0,0.0
2024-03-11 00:00:00+01:00,172.07276124160717,172.5552049562951,170.91130933964246,172.2871856689453,466626,0.0,0.0
2024-03-12 00:00:00+01:00,173.23418498736828,173.87745822051383,172.28717258044918,173.25205993652344,579843,0.0,0.0
2024-03-13 00:00:00+01:00,173.59157549669476,174.5207280117343,173.3950110260255,174.0382843017578,557329,0.0,0.0
2024-03-14 00:00:00+01:00,174.6100650110819,175.1818534558097,173.9131969068347,174.4849853515625,674920,0.0,0.0
2024-03-15 00:00:00+01:00,174.6279199710241,176.3790351542189,174.34202575683594,174.34202575683594,1436496,0.0,0.0
2024-03-18 00:00:00+01:00,174.02040977077655,174.25270914691902,172.5373287365961,173.3771514892578,382664,0.0,0.0
2024-03-19 00:00:00+01:00,172.75175073958243,174.6100707438412,172.28718198534037,174.43138122558594,380707,0.0,0.0
2024-03-20 00:00:00+01:00,174.52071863197375,174.8244878010569,173.7345057788435,174.21694946289062,439370,0.0,0.0
2024-03-21 00:00:00+01:00,174.75300183212565,174.9138163924006,171.96552945967602,173.05551147460938,607690,0.0,0.0
2024-03-22 00:00:00+01:00,171.32227255884035,171.73324643737206,168.60626997065154,170.17869567871094,972524,0.0,0.0
2024-03-25 00:00:00+01:00,170.7683586853038,171.46522678230545,169.9642708836786,170.83982849121094,532086,0.0,0.0
2024-03-26 00:00:00+01:00,170.8398355916487,172.16210203470084,170.3037820335401,171.9476776123047,494905,0.0,0.0
2024-03-27 00:00:00+01:00,172.07276039367704,173.30568210009102,171.32228239957365,172.7160186767578,419535,0.0,0.0
2024-03-28 00:00:00+01:00,172.8768340994204,173.48435748040856,172.00129143108242,172.2871856689453,670662,0.0,0.0
2024-04-02 00:00:00+02:00,172.51946512692078,173.62730714148958,170.50033056899818,171.01852416992188,667956,0.0,0.0
2024-04-03 00:00:00+02:00,171.05425588182288,171.37588500976562,169.62478475998668,171.37588500976562,719121,0.0,0.0
2024-04-04 00:00:00+02:00,171.3580100588372,171.4294798659877,169.23167082788632,169.35675048828125,524327,0.0,0.0
2024-04-05 00:00:00+02:00,167.5163116455078,167.6413913105051,166.46207946607618,167.5163116455078,853017,0.0,0.0
2024-04-08 00:00:00+02:00,167.60564884348244,169.2316694193197,167.3912244280525,168.19529724121094,419611,0.0,0.0
2024-04-09 00:00:00+02:00,167.9451557632274,168.5705390748276,167.19467779439123,167.3733673095703,615620,0.0,0.0
2024-04-10 00:00:00+02:00,167.96302146703732,168.4276052249487,165.94388686029478,167.31976318359375,578911,0.0,0.0
2024-04-11 00:00:00+02:00,167.12321144306173,168.78496698469502,166.62289278682337,168.6062774658203,644620,0.0,0.0
2024-04-12 00:00:00+02:00,169.7498520826266,170.1608259738249,166.64075046947903,167.4091033935547,566068,0.0,0.0
2024-04-15 00:00:00+02:00,167.06959673655436,169.14232611479667,166.53354319126072,168.23104858398438,513416,0.0,0.0
2024-04-16 00:00:00+02:00,165.9081504403531,167.39123146543002,165.21128230773073,165.926025390625,575469,0.0,0.0
2024-04-17 00:00:00+02:00,165.81880644069665,167.76647122837184,165.7652115811625,166.62289428710938,431115,0.0,0.0
2024-04-18 00:00:00+02:00,167.1946817423019,167.48057597588118,165.85455533410476,166.81944274902344,674593,0.0,0.0
2024-04-19 00:00:00+02:00,166.01537082581729,167.89155080687212,165.28276778543452,167.74859619140625,727126,0.0,0.0
